provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;81;28102001_81_89;2022;7;1;6,0;V;48,0;V;56,0;V;4,0;V;32,0;V;28,0;V;26,0;V;19,0;V;18,0;V;22,0;V;22,0;V;21,0;V;29,0;V;32,0;V;35,0;V;31,0;V;33,0;V;24,0;V;26,0;V;37,0;V;42,0;V;47,0;V;55,0;V;42,0;V
28;102;1;82;28102001_82_89;2022;7;1;84,0;V;63,0;V;57,0;V;70,0;V;101,0;V;102,0;V;56,0;V;53,0;V;96,0;V;115,0;V;82,0;V;96,0;V;135,0;V;162,0;V;167,0;V;154,0;V;160,0;V;142,0;V;181,0;V;149,0;V;140,0;V;156,0;V;183,0;V;216,0;V
28;102;1;83;28102001_83_89;2022;7;1;149,0;V;137,0;V;135,0;V;134,0;V;127,0;V;136,0;V;174,0;V;201,0;V;223,0;V;242,0;V;26,0;V;278,0;V;294,0;V;303,0;V;307,0;V;311,0;V;312,0;V;311,0;V;302,0;V;279,0;V;259,0;V;247,0;V;229,0;V;208,0;V
28;102;1;86;28102001_86_89;2022;7;1;58,0;V;62,0;V;64,0;V;64,0;V;66,0;V;64,0;V;51,0;V;46,0;V;43,0;V;40,0;V;34,0;V;29,0;V;26,0;V;24,0;V;23,0;V;23,0;V;22,0;V;21,0;V;22,0;V;31,0;V;40,0;V;44,0;V;59,0;V;72,0;V
28;102;1;87;28102001_87_89;2022;7;1;924,0;V;924,0;V;924,0;V;924,0;V;924,0;V;924,0;V;925,0;V;925,0;V;925,0;V;925,0;V;925,0;V;925,0;V;925,0;V;924,0;V;924,0;V;923,0;V;923,0;V;923,0;V;923,0;V;923,0;V;924,0;V;924,0;V;925,0;V;925,0;V
28;102;1;88;28102001_88_89;2022;7;1;15,0;V;14,0;V;14,0;V;15,0;V;16,0;V;88,0;V;230,0;V;505,0;V;755,0;V;946,0;V;1097,0;V;1177,0;V;1200,0;V;1151,0;V;1041,0;V;855,0;V;667,0;V;433,0;V;191,0;V;43,0;V;16,0;V;16,0;V;16,0;V;15,0;V
28;102;1;89;28102001_89_89;2022;7;1;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V;0,0;V
28;120;1;81;28120001_81_89;2022;7;1;12,0;V;13,0;V;12,0;V;12,0;V;13,0;V;12,0;V;11,0;V;1,0;V;16,0;V;18,0;V;19,0;V;18,0;V;21,0;V;24,0;V;2,0;V;3,0;V;26,0;V;2,0;V;16,0;V;9,0;V;17,0;V;18,0;V;18,0;V;15,0;V
28;120;1;82;28120001_82_89;2022;7;1;35,0;V;39,0;V;41,0;V;33,0;V;36,0;V;43,0;V;54,0;V;144,0;V;178,0;V;230,0;V;247,0;V;257,0;V;237,0;V;223,0;V;227,0;V;198,0;V;199,0;V;212,0;V;186,0;V;30,0;V;35,0;V;35,0;V;91,0;V;170,0;V
28;120;1;83;28120001_83_89;2022;7;1;89,0;V;85,0;V;88,0;V;96,0;V;102,0;V;9,0;V;87,0;V;122,0;V;143,0;V;165,0;V;179,0;V;185,0;V;196,0;V;201,0;V;206,0;V;204,0;V;203,0;V;20,0;V;188,0;V;166,0;V;155,0;V;157,0;V;162,0;V;163,0;V
